date,combo,issue,iterations,runtime_s
2025-08-10,none,0,324,0.0027816669971798547
2025-08-11,none,0,328,0.0028439580055419356
2025-08-12,none,0,330,0.0028988749982090667
2025-08-13,none,0,328,0.0031585830001858994
2025-08-14,none,0,328,0.0028144579991931096
2025-08-15,none,0,366,0.0027745000043069012
2025-08-16,none,0,351,0.002737499999057036
2025-08-17,none,0,338,0.002800291003950406
2025-08-18,none,0,328,0.002864166999643203
2025-08-19,none,0,333,0.003096291999099776
2025-08-20,none,0,343,0.0028693339991150424
2025-08-21,none,0,335,0.0028669579987763427
2025-08-22,none,0,347,0.0029490419983631
2025-08-23,none,0,337,0.003003290999913588
2025-08-24,none,0,322,0.0030341660021804273
2025-08-25,none,0,350,0.0031672080003772862
2025-08-26,none,0,323,0.0028053330024704337
2025-08-27,none,0,329,0.0027385830035200343
2025-08-28,none,0,329,0.0031159589998424053
2025-08-29,none,0,352,0.003026625003258232
2025-08-30,none,0,353,0.002725708000070881
2025-08-31,none,0,322,0.0026963749987771735
2025-09-01,none,0,339,0.0030415830042329617
2025-09-02,none,0,336,0.0030818329978501424
2025-09-03,none,0,329,0.0032020829967223108
2025-09-04,none,0,329,0.0028194580008857884
2025-09-05,none,0,323,0.0027637090024654754
2025-09-06,none,0,331,0.0027791249958681874
2025-09-07,none,0,321,0.003023666999069974
2025-09-08,none,0,332,0.002972415997646749
2025-09-09,none,0,316,0.0026814590019057505
2025-09-10,none,0,334,0.00310791700030677
2025-09-11,none,0,333,0.0029125419969204813
2025-09-12,none,0,329,0.0028053750065737404
2025-09-13,none,0,330,0.0030358750009327196
2025-09-14,none,0,340,0.003054624998185318
2025-09-15,none,0,332,0.0028836249985033646
2025-09-16,none,0,370,0.0032201249996433035
2025-09-17,none,0,350,0.0031321249989559874
2025-09-18,none,0,354,0.0029999170001246966
2025-09-19,none,0,340,0.0028042080011800863
2025-09-20,none,0,339,0.0027931249933317304
2025-09-21,none,0,365,0.002974167000502348
2025-09-22,none,0,358,0.0031573749947710894
2025-09-23,none,0,364,0.0032704159966669977
2025-09-24,none,0,345,0.0028450839963625185
2025-09-25,none,0,370,0.0029455420008162037
2025-09-26,none,0,367,0.003066167002543807
2025-09-27,none,0,337,0.0031935000006342307
2025-09-28,none,0,368,0.00303837499814108
2025-09-29,none,0,367,0.002921791994594969
2025-09-30,none,0,364,0.0028506670059869066
2025-10-01,none,0,369,0.002940207996289246
2025-10-02,none,0,360,0.0032123749988386407
2025-10-03,none,0,340,0.0029145829976187088
2025-10-04,none,0,368,0.002890165997087024
2025-10-05,none,0,370,0.0030359170050360262
2025-10-06,none,0,353,0.0029338340027607046
2025-10-07,none,0,371,0.0032155000008060597
2025-10-08,none,0,369,0.003243291997932829
2025-10-09,none,0,363,0.0029484579936251976
2025-10-10,none,0,349,0.0029641660003107972
2025-10-11,none,0,353,0.0030025410014786758
2025-10-12,none,0,370,0.003628791993833147
2025-10-13,none,0,365,0.003414208003960084
2025-10-14,none,0,370,0.002954832998511847
2025-10-15,none,0,373,0.0031369589996756986
2025-10-16,none,0,367,0.003167250004480593
2025-10-17,none,0,330,0.0031203329999698326
2025-10-18,none,0,364,0.0029514170018956065
2025-10-19,none,0,369,0.0029442919985740446
2025-10-20,none,0,361,0.0028934160000062548
2025-10-21,none,0,373,0.00340679100190755
2025-10-22,none,0,363,0.0031482499980484135
2025-10-23,none,0,374,0.0031936669984133914
2025-10-24,none,0,346,0.0030005000007804483
2025-10-25,none,0,365,0.0029330420002224855
2025-10-26,none,0,368,0.003280124998127576
2025-10-27,none,0,365,0.003124290997220669
2025-10-28,none,0,366,0.002951707996544428
2025-10-29,none,0,363,0.003073375002713874
2025-10-30,none,0,368,0.003071166996960528
2025-10-31,none,0,376,0.0035381670022616163
2025-11-01,none,0,366,0.0028962090000277385
2025-11-02,none,0,370,0.0028898340024170466
2025-11-03,none,0,369,0.0029425419998005964
2025-11-04,none,0,360,0.002917541001806967
2025-11-05,none,0,362,0.0036930409987689927
2025-11-06,none,0,363,0.003148124997096602
2025-11-07,none,0,368,0.0031397919956361875
2025-11-08,none,0,371,0.0030570419985451736
2025-11-09,none,0,366,0.003003375000844244
2025-11-10,none,0,355,0.0031105419984669425
2025-11-11,none,0,367,0.0028985000026295893
2025-11-12,none,0,371,0.0030349590015248396
2025-11-13,none,0,368,0.0031190000008791685
2025-11-14,none,0,374,0.0033079580025514588
2025-11-15,none,0,385,0.003194333999999799
2025-11-16,none,0,371,0.003239291996578686
2025-11-17,none,0,358,0.002996625000378117
2025-11-18,none,0,353,0.0032007089976104908
2025-11-19,none,0,364,0.0035663750022649765
2025-11-20,none,0,362,0.0032273329998133704
2025-11-21,none,0,380,0.003108500000962522
2025-11-22,none,0,374,0.003087416000198573
2025-11-23,none,0,366,0.0029514170018956065
2025-11-24,none,0,357,0.0033927079930435866
2025-11-25,none,0,360,0.0029997499950695783
2025-11-26,none,0,354,0.002858374995412305
2025-11-27,none,0,371,0.003111665995675139
2025-11-28,none,0,375,0.003120207999018021
2025-11-29,none,0,380,0.003339374998176936
2025-11-30,none,0,374,0.0029837080001016147
2025-12-01,none,0,352,0.002957000004244037
2025-12-02,none,0,359,0.0031053329948917963
2025-12-03,none,0,359,0.003370916994754225
2025-12-04,none,0,347,0.0032384579972131178
2025-12-05,none,0,383,0.003079333000641782
2025-12-06,none,0,374,0.0030862499988870695
2025-12-07,none,0,340,0.0032765420037321746
2025-12-08,none,0,352,0.0037012909961049445
2025-12-09,none,0,348,0.0029927089999546297
2025-12-10,none,0,341,0.0029752499976893887
2025-12-11,none,0,345,0.002988375003042165
2025-12-12,none,0,376,0.0031877080036792904
2025-12-13,none,0,372,0.0034138749979319982
2025-12-14,none,0,350,0.003082374998484738
2025-12-15,none,0,344,0.0029424579988699406
2025-12-16,none,0,347,0.0031168339992291294
2025-12-17,none,0,351,0.003103082999587059
2025-12-18,none,0,352,0.003099375004239846
2025-12-19,none,0,381,0.003152999997837469
2025-12-20,none,0,385,0.0029605000017909333
2025-12-21,none,0,350,0.002883375003875699
2025-12-22,none,0,338,0.003006791004736442
2025-12-23,none,0,348,0.0032210420031333342
2025-12-24,none,0,340,0.002915791003033519
2025-12-25,none,0,344,0.002878791005059611
2025-12-26,none,0,378,0.002998832998855505
2025-12-27,none,0,384,0.003431333003391046
2025-12-28,none,0,343,0.0032402500000898726
2025-12-29,none,0,343,0.002896459001931362
2025-12-30,none,0,340,0.0029326250005397014
2025-12-31,none,0,362,0.0030417500020121224
2025-01-01,none,0,138,0.002782250005111564
2025-01-02,none,0,353,0.003294000001915265
2025-01-03,none,0,344,0.0030287920017144643
2025-01-04,none,0,346,0.002882166998460889
2025-01-05,none,0,382,0.0030566249988623895
2025-01-06,none,0,350,0.0031818749994272366
2025-01-07,none,0,351,0.0032938329968601465
2025-01-08,none,0,348,0.0029551669940701686
2025-01-09,none,0,342,0.0029284580014063977
2025-01-10,none,0,376,0.0032105420032166876
2025-01-11,none,0,371,0.0031531249987892807
2025-01-12,none,0,340,0.0030402920019696467
2025-01-13,none,0,349,0.0028185409973957576
2025-01-14,none,0,345,0.002845290997356642
2025-01-15,none,0,352,0.003219292004359886
2025-01-16,none,0,347,0.0033499580022180453
2025-01-17,none,0,374,0.003298417002952192
2025-01-18,none,0,367,0.003038916998775676
2025-01-19,none,0,346,0.0029527500009862706
2025-01-20,none,0,344,0.002918874997703824
2025-01-21,none,0,344,0.0031098340041353367
2025-01-22,none,0,349,0.002891500000259839
2025-01-23,none,0,347,0.002889709001465235
2025-01-24,none,0,375,0.003120125002169516
2025-01-25,none,0,374,0.0030691670035594143
2025-01-26,none,0,354,0.0031891249964246526
2025-01-27,none,0,355,0.003002375000505708
2025-01-28,none,0,361,0.0029235000038170256
2025-01-29,none,0,360,0.0031662080000387505
2025-01-30,none,0,358,0.0033054170053219423
2025-01-31,none,0,381,0.0031072920028236695
2025-02-01,none,0,379,0.00317212500522146
2025-02-02,none,0,356,0.0030032089998712763
2025-02-03,none,0,349,0.002945041000202764
2025-02-04,none,0,349,0.0032152919957297854
2025-02-05,none,0,359,0.0030665829981444404
2025-02-06,none,0,359,0.003064624994294718
2025-02-07,none,0,373,0.003027875005500391
2025-02-08,none,0,363,0.002998083997226786
2025-02-09,none,0,367,0.003321333999338094
2025-02-10,none,0,357,0.003110125006060116
2025-02-11,none,0,361,0.0029825419987901114
2025-02-12,none,0,361,0.0030560000013792887
2025-02-13,none,0,362,0.003357292000146117
2025-02-14,none,0,368,0.0031169579960987903
2025-02-15,none,0,373,0.003132916994218249
2025-02-16,none,0,367,0.002969624998513609
2025-02-17,none,0,374,0.002993334004713688
2025-02-18,none,0,364,0.003296749993751291
2025-02-19,none,0,358,0.0032410420026280917
2025-02-20,none,0,367,0.003050624996831175
2025-02-21,none,0,356,0.0029047499992884696
2025-02-22,none,0,362,0.003014583002368454
2025-02-23,none,0,362,0.003252208996855188
2025-02-24,none,0,368,0.0031941249981173314
2025-02-25,none,0,368,0.003073416999541223
2025-02-26,none,0,365,0.0029725829954259098
2025-02-27,none,0,370,0.0031666670038248412
2025-02-28,none,0,340,0.0031617089989595115
2025-03-01,none,0,366,0.003093749997788109
2025-03-02,none,0,376,0.0030502919980790466
2025-03-03,none,0,374,0.002999125004862435
2025-03-04,none,0,369,0.0032053749964688905
2025-03-05,none,0,365,0.003548625005350914
2025-03-06,none,0,373,0.002969832996313926
2025-03-07,none,0,363,0.0031148750058491714
2025-03-08,none,0,340,0.002955374999146443
2025-03-09,none,0,362,0.003459749998000916
2025-03-10,none,0,366,0.003318500006571412
2025-03-11,none,0,365,0.0029421250001178123
2025-03-12,none,0,359,0.002997624993440695
2025-03-13,none,0,372,0.0032115840003825724
2025-03-14,none,0,338,0.0034119159972760826
2025-03-15,none,0,351,0.002944917003333103
2025-03-16,none,0,377,0.0029676249978365377
2025-03-17,none,0,356,0.0029550420003943145
2025-03-18,none,0,369,0.003124125003523659
2025-03-19,none,0,362,0.0035897919951821677
2025-03-20,none,0,370,0.003047874997719191
2025-03-21,none,0,345,0.002914917000452988
2025-03-22,none,0,344,0.0029196250034146942
2025-03-23,none,0,362,0.0030037499964237213
2025-03-24,none,0,364,0.003359166999871377
2025-03-25,none,0,367,0.003012417000718415
2025-03-26,none,0,360,0.002976957999635488
2025-03-27,none,0,368,0.0029892079983255826
2025-03-28,none,0,339,0.0031607080018147826
2025-03-29,none,0,330,0.002999250005814247
2025-03-30,none,0,362,0.0032439159986097366
2025-03-31,none,0,365,0.0029289160011103377
2025-04-01,none,0,366,0.003067917001317255
2025-04-02,none,0,368,0.0032367919993703254
2025-04-03,none,0,367,0.0033523749953019433
2025-04-04,none,0,324,0.002843041998858098
2025-04-05,none,0,320,0.0028515420053736307
2025-04-06,none,0,367,0.002920708997407928
2025-04-07,none,0,357,0.003399041001102887
2025-04-08,none,0,376,0.0032152079947991297
2025-04-09,none,0,372,0.003027832994121127
2025-04-10,none,0,366,0.0029893329992773943
2025-04-11,none,0,311,0.0028372919987305067
2025-04-12,none,0,343,0.003293916000984609
2025-04-13,none,0,356,0.002981833000376355
2025-04-14,none,0,372,0.0029069170050206594
2025-04-15,none,0,359,0.0028316249954514205
2025-04-16,none,0,365,0.0030116249981801957
2025-04-17,none,0,360,0.0034246669965796173
