date,total_cost,plan_cost,emergency_cost,emergency_kwh,waste_kwh,start_soc,end_soc
2025-02-01,30509.830712619776,30509.830712619776,0.0,0.0,25032.709910999998,8550.0,10200.0
2025-02-02,65320.25599532699,65119.83821544865,200.41777987833242,31.390860666666526,11339.398479166668,10200.0,7200.0
2025-02-03,66443.94662462732,65998.05376971632,445.8928549110014,103.87135683333368,6858.596986000002,7200.0,8550.0
2025-02-04,66029.53371904424,64310.433676915825,1719.1000421284152,422.708606583333,5708.468131416668,8550.0,7200.0
2025-02-05,66482.02615359519,64816.64486323498,1665.3812903602081,390.4685050833332,5439.163518083332,7200.0,8550.0
2025-02-06,62413.010003271396,61537.81597573352,875.1940275378706,217.173957499999,5792.394010083336,8550.0,2700.0
2025-02-07,28861.924933639042,28861.924933639042,0.0,0.0,23342.562229666666,2700.0,7800.0
2025-02-08,27148.458174702122,27148.458174702122,0.0,0.0,22396.265244666665,7800.0,10200.0
2025-02-09,63390.73034624357,60894.51482875686,2496.215517486706,607.1992269166664,5181.491608250002,10200.0,7950.0
2025-02-10,59845.91321430952,59267.84653586702,578.0666784424983,103.24474908333298,8743.130049250001,7950.0,7200.0
2025-02-11,60447.13622446708,60133.288157934745,313.8480665323374,60.531297583334094,7570.4334,7200.0,7200.0
2025-02-12,61287.37692508491,60343.17203858907,944.2048864958324,183.5111101666668,7078.872854333333,7200.0,9300.0
2025-02-13,55372.79656864466,54782.092494072574,590.7040745720849,182.99005291666685,10057.2352695,9300.0,2700.0
2025-02-14,25767.35136618453,25767.35136618453,0.0,0.0,20136.81787483333,2700.0,7050.0
2025-02-15,25348.36646011159,25348.36646011159,0.0,0.0,19302.354283999997,7050.0,10800.0
2025-02-16,58181.723059800126,54991.386999572,3190.3360602281227,728.372359166666,4191.159982750001,10800.0,7050.0
2025-02-17,56607.96059674609,55281.69129842305,1326.26929832304,307.02030575000003,6510.817882,7050.0,7200.0
2025-02-18,55320.115795996295,54000.74834765809,1319.3674483382026,292.4407826666655,4910.2006030833345,7200.0,7050.0
2025-02-19,57516.04461057634,53879.88611733046,3636.1584932458763,972.1045999166668,4246.638009833333,7050.0,7950.0
2025-02-20,53350.99667479345,51690.233338188744,1660.763336604705,400.6868987499992,5651.502682916666,7950.0,2700.0
2025-02-21,23277.59832395643,23277.59832395643,0.0,0.0,19572.193176083332,2700.0,6450.0
2025-02-22,22885.712447300288,22828.007103216954,57.705344083333415,28.723416666666708,15911.447714666663,6450.0,10200.0
2025-02-23,54849.45646039323,50299.259763891605,4550.196696501623,1185.6113434999997,3456.318212083335,10200.0,7200.0
2025-02-24,51981.25039733436,49933.93348938103,2047.3169079533325,450.5257146666662,4142.882360750001,7200.0,7050.0
2025-02-25,52266.91576681167,49773.26108451713,2493.654682294541,698.5385983333335,7245.905435166669,7050.0,7050.0
2025-02-26,54403.362872974154,49024.16988124966,5379.192991724494,1279.794780666666,3138.6691062499995,7050.0,7050.0
2025-02-27,50351.28393254233,45451.871635481584,4899.412297060745,956.1476549999993,4331.993383166668,7050.0,2700.0
2025-02-28,20981.739053334873,20981.739053334873,0.0,0.0,17252.0441185,2700.0,6450.0
2025-03-01,21039.200954296084,21031.391050281585,7.809904014500292,2.4574902500000917,16233.719140416664,6450.0,10800.0
2025-03-02,69782.97429700842,46377.09022075418,23405.884076254242,5177.795343416665,2270.5098043333337,10800.0,7800.0
2025-03-03,74609.15796952548,44996.177075091895,29612.98089443358,6454.613122416666,1793.8734649166674,7800.0,5700.0
2025-03-04,57435.87630629556,47335.22658262531,10100.64972367025,2488.9051425,1584.263212083335,5700.0,7050.0
2025-03-05,51654.78424134975,46823.79653725642,4830.98770409333,1138.901328249999,3867.882149500001,7050.0,7950.0
2025-03-06,50576.654289083424,42584.89868156172,7991.755607521709,1836.96280175,3072.716282500001,7950.0,2700.0
2025-03-07,20252.523158729276,20252.523158729276,0.0,0.0,17633.284719416664,2700.0,6450.0
2025-03-08,20205.634764832073,20205.634764832073,0.0,0.0,19911.976459999998,6450.0,10200.0
2025-03-09,45758.97155748967,44109.23286922384,1649.738688265833,387.41854041666664,6169.325425000001,10200.0,6450.0
2025-03-10,60742.5648129292,45163.89016489663,15578.674648032575,3958.0160624166647,1974.4683416666658,6450.0,6300.0
2025-03-11,50459.208744135154,44928.10734642249,5531.101397712662,1311.0300086666657,3827.8102435833343,6300.0,7050.0
2025-03-12,46337.90213212458,44335.4685168285,2002.433615296084,617.9142531666665,4426.802818666668,7050.0,7800.0
2025-03-13,61909.394475365254,41905.411845393166,20003.982629972088,4806.083069583334,2157.9962469166676,7800.0,3450.0
2025-03-14,19087.679759421517,19087.679759421517,0.0,0.0,21393.052795083328,3450.0,6196.832405462964
2025-03-15,19935.397179030548,19774.872432169504,160.5247468610417,75.76535375000003,16302.192667333333,6196.832405462964,10200.0
2025-03-16,48337.2439543173,42513.292055257676,5823.951899059626,1333.5858936666666,3960.5973040833337,10200.0,7800.0
2025-03-17,42423.153366275896,41381.63721052544,1041.5161557504578,264.6864459999998,7902.994493000003,7800.0,5550.0
2025-03-18,49815.11701841245,42317.91538668508,7497.201631727369,1496.6687354166654,3985.870418833335,5550.0,7200.0
2025-03-19,45382.521173610265,40793.52955563931,4588.991617970958,921.6166619166667,4631.381765416668,7200.0,6450.0
2025-03-20,45189.832784771046,39969.15866015967,5220.6741246113725,1342.939788583333,2554.458907416667,6450.0,2669.573409814816
2025-03-21,17780.97225748803,17780.97225748803,0.0,0.0,24003.51821783333,2669.573409814816,4645.167189351851
2025-03-22,19372.207514986618,19372.207514986618,0.0,0.0,19937.669156999997,4645.167189351851,10200.0
2025-03-23,43399.75267063418,39198.01074339826,4201.741927235921,1085.487903083334,5136.621026500001,10200.0,7050.0
2025-03-24,42492.118263119744,40467.27944147387,2024.8388216458754,666.7652827499999,5213.656857250001,7050.0,6300.0
2025-03-25,49664.10848222196,39438.87709072429,10225.231391497671,2537.2064218333335,2606.9283088333336,6300.0,5550.0
2025-03-26,42867.31564128412,40506.909900655664,2360.4057406284546,670.0641508333317,6078.885594000003,5550.0,7950.0
2025-03-27,41151.94981585027,36769.5984056619,4382.3514101883675,1183.7515179999984,3833.607005250003,7950.0,1950.0
2025-03-28,17909.686806006437,17892.344663942687,17.34214206374959,6.328094166666517,24182.22328775,1950.0,4950.0
2025-03-29,18480.4951906402,18480.4951906402,0.0,0.0,27201.494338916673,4950.0,10200.0
2025-03-30,39187.4878575615,36781.2721660248,2406.2156915367036,728.9012541666651,5885.731255000004,10200.0,7200.0
2025-03-31,44477.60938990024,38658.64762842341,5818.9617614768285,1400.551655083333,4027.6489629999996,7200.0,7950.0
2025-04-01,49922.517106420266,38633.34493472331,11289.172171696953,3472.2035247499985,2370.951724249999,7950.0,7050.0
2025-04-02,60078.34189528764,37680.3582693006,22397.983625987035,5465.5024267499975,2401.822704333333,7050.0,8550.0
2025-04-03,41364.03340234166,35435.543454574334,5928.489947767327,1373.0839855833315,4923.311336749999,8550.0,1950.0
2025-04-04,17092.64499660835,17092.64499660835,0.0,0.0,27532.989936916667,1950.0,5095.4064148148145
2025-04-05,18174.661008971372,18174.661008971372,0.0,0.0,22104.68764691666,5095.4064148148145,10200.0
2025-04-06,38307.266910656006,35223.011706557176,3084.2552040988335,834.5805343333326,3913.0160629166676,10200.0,6450.0
2025-04-07,38500.73960336165,36329.42722945603,2171.3123739056255,774.1826969166666,4359.796982083332,6450.0,6450.0
2025-04-08,42057.53071617713,36683.96261856234,5373.568097614788,1177.1905247499992,4605.007155416668,6450.0,6300.0
2025-04-09,54031.15699174427,36764.445021983614,17266.711969760654,4523.265982749997,1728.6466125833324,6300.0,7200.0
2025-04-10,39498.54620226101,34415.72963126976,5082.816570991249,1143.8839157499992,4563.940939416669,7200.0,1950.0
2025-04-11,16644.05396303962,16644.05396303962,0.0,0.0,28104.233262833328,1950.0,4200.0
2025-04-12,18034.829071588818,17955.705678677485,79.12339291133286,48.61639266666634,24697.89973483333,4200.0,10200.0
2025-04-13,40906.14424241502,33608.34143795802,7297.802804457002,1762.3168223333332,2732.684922166667,10200.0,6300.0
2025-04-14,39890.0315626824,34671.698702416485,5218.332860265913,1316.2659338333322,3790.2367098333316,6300.0,5700.0
2025-04-15,39925.418009448316,35996.422131115774,3928.9958783325415,867.9001791666665,7803.541545583332,5700.0,6450.0
2025-04-16,42145.25359565778,36310.786562142064,5834.46703351571,1604.7936425833336,2547.046729083333,6450.0,6450.0
2025-04-17,35508.09597660821,33320.596477393636,2187.4994992145757,543.4504679166654,3712.3154109999987,6450.0,1950.0
2025-04-18,16149.740319934946,16149.740319934946,0.0,0.0,26337.732024583333,1950.0,4298.460577222222
