date,combo,total_cost,plan_cost,up_cost,down_cost,emergency_cost,emergency_kwh,waste_kwh,start_soc,end_soc
2025-02-01,none,28404.365521125386,28404.365521125386,0.0,0.0,0.0,0.0,22485.906000166666,6000.000000000001,6000.000000000005
2025-02-02,none,63850.81781044241,63243.201139273035,0.0,0.0,607.6166711693745,94.37887961111119,8043.818627277781,6000.000000000005,6000.000000000005
2025-02-03,none,66846.9953506023,65557.98188533177,0.0,0.0,1289.0134652705328,250.3835802222232,7577.225825222224,6000.000000000005,6000.0
2025-02-04,none,67977.28596103212,67207.16190288117,0.0,0.0,770.1240581509445,192.21206786111114,8058.688266027781,6000.0,6000.000000000004
2025-02-05,none,67496.48938139663,61907.88157567139,0.0,0.0,5588.60780572524,1303.9349733055562,3919.9941600555558,6000.000000000004,6000.000000000003
2025-02-06,none,67764.79005198782,66593.58554809747,0.0,0.0,1171.2045038903434,240.61543322222133,8659.667986638891,6000.000000000003,6000.000000000002
2025-02-07,none,26933.110894121724,26933.110894121724,0.0,0.0,0.0,0.0,22997.560894250004,6000.000000000002,6000.000000000002
2025-02-08,none,22691.588320798313,22691.588320798313,0.0,0.0,0.0,0.0,15278.043585499998,6000.000000000002,6000.0
2025-02-09,none,65114.08897298254,61713.68996499585,0.0,0.0,3400.3990079866935,683.0406521944442,4863.475041444446,6000.0,6000.000000000002
2025-02-10,none,57949.05276568081,56413.15492411635,0.0,0.0,1535.8978415644597,284.7948421666669,5338.859820666668,6000.000000000002,6000.000000000001
2025-02-11,none,62525.044739889025,57873.710690555934,0.0,0.0,4651.334049333093,1020.1453148888904,5850.029451055556,6000.000000000001,6000.0
2025-02-12,none,59316.063813992325,57341.06771425922,0.0,0.0,1974.9960997331102,382.25515541666675,4960.814482083333,6000.0,6000.000000000001
2025-02-13,none,56490.782127601706,51998.615283701336,0.0,0.0,4492.166843900373,979.5933510833329,4144.579755583334,6000.000000000001,6000.0
2025-02-14,none,22306.67725218481,22306.67725218481,0.0,0.0,0.0,0.0,16959.237363166663,6000.0,6000.0
2025-02-15,none,23046.05982399398,23046.05982399398,0.0,0.0,0.0,0.0,18293.676575249996,6000.0,6000.000000000001
2025-02-16,none,60942.93781427367,57016.6635766618,0.0,0.0,3926.274237611873,812.35161475,4711.302232916668,6000.000000000001,6000.000000000002
2025-02-17,none,60149.4177178913,55984.90239143431,0.0,0.0,4164.515326456991,893.3647045000012,8811.3203345,6000.000000000002,5999.999999999999
2025-02-18,none,65908.46274693175,47903.40066962382,0.0,0.0,18005.062077307924,4208.002071666662,1705.255961249999,5999.999999999999,6000.000000000002
2025-02-19,none,65317.54069630972,48370.46240048797,0.0,0.0,16947.078295821746,3932.4375859999996,809.7274671666672,6000.000000000002,6000.000000000001
2025-02-20,none,59999.32513725446,50826.653335148185,0.0,0.0,9172.671802106275,1871.2869184166661,3772.4002184166675,6000.000000000001,6000.0000000000055
2025-02-21,none,19921.51274080008,19866.904265474248,0.0,0.0,54.60847532583352,22.07214477777785,15335.93920211111,6000.0000000000055,6000.0
2025-02-22,none,20602.82569749016,20545.120353406826,0.0,0.0,57.705344083333415,28.723416666666708,14094.165220916666,6000.0,6000.0
2025-02-23,none,63955.844144743445,48739.156602371644,0.0,0.0,15216.687542371797,3133.6779746944435,2153.5319836944454,6000.0,6000.000000000004
2025-02-24,none,60347.17767064719,46818.49819694502,0.0,0.0,13528.679473702172,3490.6547634999984,2400.440156666667,6000.000000000004,6000.0
2025-02-25,none,54369.28302503319,46947.863210365365,0.0,0.0,7421.419814667825,1715.0309330277764,5195.0719686111115,6000.0,6000.0
2025-02-26,none,74286.00628706506,42284.42881552214,0.0,0.0,32001.57747154292,7338.461875666664,741.8351320833331,6000.0,6000.000000000002
2025-02-27,none,64857.04363160794,42621.80777287242,0.0,0.0,22235.23585873553,4636.697650999999,1396.1875158333341,6000.000000000002,6000.000000000002
2025-02-28,none,18920.69558609354,18224.23447757729,0.0,0.0,696.4611085162519,229.47978447222266,14622.774535805556,6000.000000000002,6000.0
2025-03-01,none,20728.774955400324,20728.774955400324,0.0,0.0,0.0,0.0,20925.803869333333,6000.0,6000.0
2025-03-02,none,61110.57275797369,49709.625754932815,0.0,0.0,11400.94700304088,2417.6929268333315,1968.3443239999997,6000.0,6000.0
2025-03-03,none,63648.22726145382,51338.27841065546,0.0,0.0,12309.948850798359,2684.3254353333327,5124.032350750002,6000.0,6000.000000000002
2025-03-04,none,64240.61913563737,44567.15831579045,0.0,0.0,19673.460819846914,4753.619975333335,1053.363503250001,6000.000000000002,6000.000000000001
2025-03-05,none,51502.6218970452,46025.64962210659,0.0,0.0,5476.9722749386165,1157.031638444443,4065.629101777779,6000.000000000001,6000.000000000002
2025-03-06,none,56794.71503229874,42669.048329666286,0.0,0.0,14125.666702632461,3162.442846388889,1298.4146013055567,6000.000000000002,6000.000000000002
2025-03-07,none,19395.66723000488,19395.66723000488,0.0,0.0,0.0,0.0,19237.321487916666,6000.000000000002,6000.0
2025-03-08,none,17634.290695966512,17634.290695966512,0.0,0.0,0.0,0.0,17235.50248516666,6000.0,6000.000000000002
2025-03-09,none,54014.134068525214,44466.899980521186,0.0,0.0,9547.234088004026,1907.8784195833332,6323.979866666668,6000.000000000002,5999.999999999999
2025-03-10,none,64708.269587321425,43463.97213765358,0.0,0.0,21244.297449667843,4576.502464138888,1060.1686183888892,5999.999999999999,6000.0
2025-03-11,none,74395.60776811789,37872.130908178035,0.0,0.0,36523.47685993985,8761.92604786111,1304.300454027778,6000.0,6000.000000000002
2025-03-12,none,48816.22383981805,43735.890210551675,0.0,0.0,5080.333629266373,1213.7638140277768,4850.103141611109,6000.000000000002,6000.0
2025-03-13,none,60918.65215421216,44539.4618275012,0.0,0.0,16379.190326710956,3518.6508134722217,2109.159174972221,6000.0,5999.999999999999
