date,combo,total_cost,plan_cost,up_cost,down_cost,emergency_cost,emergency_kwh,waste_kwh,start_soc,end_soc
2025-02-28,none,23684.32251575852,22894.42028802353,0.0,0.0,789.9022277349882,229.47978447222266,14622.774535805556,6000.000000000002,6000.000000000001
2025-03-01,none,26266.73703365638,26266.73703365638,0.0,0.0,0.0,0.0,20925.803869333333,6000.000000000001,6000.0
2025-03-02,none,56771.31822281245,46493.89630515499,0.0,0.0,10277.421917657462,2417.6929268333315,1968.3443239999997,6000.0,6000.0
2025-03-03,none,59375.45368867896,48120.806016900686,0.0,0.0,11254.647671778275,2684.325435333333,5124.032350750002,6000.0,6000.000000000003
2025-03-04,none,60265.75293010851,42372.75430417664,0.0,0.0,17892.99862593187,4753.619975333335,1053.363503250001,6000.000000000003,6000.0
2025-03-05,none,49473.28865129092,44360.24532352094,0.0,0.0,5113.043327769978,1157.0316384444427,4065.6291017777794,6000.0,6000.0
2025-03-06,none,54337.767308975424,41168.56488453131,0.0,0.0,13169.202424444113,3162.442846388889,1298.4146013055567,6000.0,6000.000000000002
2025-03-07,none,24448.002400632802,24448.002400632802,0.0,0.0,0.0,0.0,19237.321487916666,6000.000000000002,5999.999999999999
2025-03-08,none,22153.45511409678,22153.45511409678,0.0,0.0,0.0,0.0,17235.50248516666,5999.999999999999,6000.000000000003
2025-03-09,none,52196.12529916466,43248.33057006416,0.0,0.0,8947.7947291005,1907.8784195833332,6323.979866666668,6000.000000000003,6000.000000000002
2025-03-10,none,60257.241028878416,40931.58657020161,0.0,0.0,19325.654458676803,4576.502464138888,1060.168618388889,6000.000000000002,6000.0
2025-03-11,none,70935.7649117441,36853.09660853417,0.0,0.0,34082.668303209924,8761.92604786111,1304.3004540277782,6000.0,6000.0
2025-03-12,none,47157.45972976847,42375.27852205976,0.0,0.0,4782.181207708707,1213.763814027777,4850.103141611111,6000.0,6000.0
2025-03-13,none,57524.122347642,42206.84972066122,0.0,0.0,15317.272626980774,3518.650813472221,2109.159174972221,6000.0,6000.0
2025-03-14,none,21773.109885716367,21773.109885716367,0.0,0.0,0.0,0.0,19819.39995313889,6000.0,6000.000000000002
2025-03-15,none,21698.259096480746,21609.261072180954,0.0,0.0,88.99802429979185,41.642628750000085,15173.43633925,6000.000000000002,5999.999999999998
2025-03-16,none,52989.32754336714,40607.56461257929,0.0,0.0,12381.762930787849,3034.571652611111,2545.231757194444,5999.999999999998,6000.000000000003
2025-03-17,none,51189.312896529256,37328.14647395938,0.0,0.0,13861.16642256988,3137.2389798611093,4304.861701861111,6000.000000000003,6000.000000000002
2025-03-18,none,47897.93683563492,43029.73950190305,0.0,0.0,4868.197333731873,1117.1889089166662,7231.509643583335,6000.000000000002,6000.000000000002
2025-03-19,none,61387.85544252631,35344.723979324044,0.0,0.0,26043.131463202262,6471.759781583334,1242.8656088333337,6000.000000000002,6000.0
2025-03-20,none,58465.720814113796,40197.73791778459,0.0,0.0,18267.982896329213,4356.312520222224,4459.013958222222,6000.0,6000.000000000002
2025-03-21,none,20950.777247436876,20908.941388599374,0.0,0.0,41.83585883750051,10.946064583333467,22151.676112166664,6000.000000000002,6000.0
2025-03-22,none,21517.987933280325,21517.987933280325,0.0,0.0,0.0,0.0,19130.71313916666,6000.0,6000.0
2025-03-23,none,45760.84025677966,40663.64238860005,0.0,0.0,5097.197868179614,1281.8689117777778,6058.006536027779,6000.0,6000.000000000002
2025-03-24,none,46359.83788268962,37912.176421782955,0.0,0.0,8447.661460906664,2199.107208722222,3794.357076555556,6000.000000000002,6000.000000000002
2025-03-25,none,48710.078362201195,42493.741107095346,0.0,0.0,6216.337255105851,1579.4807835000004,7395.508398416667,6000.000000000002,6000.000000000001
2025-03-26,none,48708.494102416465,36928.04552315439,0.0,0.0,11780.448579262078,2814.107644694442,4143.729444944447,6000.000000000001,6000.000000000001
2025-03-27,none,45045.607255194394,38867.10284961466,0.0,0.0,6178.504405579733,1628.865526666666,3678.3998910000028,6000.000000000001,6000.0
2025-03-28,none,20861.086977143364,20747.052052972642,0.0,0.0,114.03492417072331,23.16577300000023,23563.64588963889,6000.0,6000.0
