date,model,total_cost,plan_cost,up_cost,down_cost,emergency_cost,emergency_kwh,waste_kwh,end_soc
2025-02-01,Q2_main,35279.47283654239,35279.47283654239,0.0,0.0,0.0,0.0,23862.915572083333,6000.0
2025-02-01,Q2_baseline,46459.44778936358,46459.44778936358,0.0,0.0,0.0,0.0,0.0,
2025-02-01,Q3_main,39888.02369872777,33751.06316821922,0.0,0.0,6136.960530508547,1326.2722596250005,23748.04636711059,6000.000000000001
2025-02-01,Q3_no_adjust,33751.06316821922,33751.06316821922,0.0,0.0,0.0,0.0,21316.11166125,6000.0
2025-02-01,Q4-2_main,29114.72300850143,29114.72300850143,0.0,0.0,0.0,0.0,23862.915572083333,6000.0
2025-02-01,Q4-2_fixed_strategy,29228.7976797784,29228.7976797784,0.0,0.0,0.0,0.0,23862.915572083333,6000.0
2025-02-01,Q4-3_main,32482.771948217356,27750.992700784413,0.0,0.0,4731.779247432945,1205.2169955000013,23652.64806722188,6000.0
2025-02-01,Q4-3_no_adjust,27750.992700784413,27750.992700784413,0.0,0.0,0.0,0.0,21316.11166125,6000.0
2025-02-02,Q2_main,59308.85812414865,58946.75780706236,0.0,0.0,362.100317086294,57.30601233333368,10039.131914833335,6000.0
2025-02-02,Q2_baseline,70356.66601629912,69870.75697682661,0.0,0.0,485.9090394725018,87.92165208333347,0.0,
2025-02-02,Q3_main,60709.04365554007,56179.390887933216,103.63747595630649,0.0,4426.015291650549,817.0512026250011,7895.43321915878,5999.999999999998
2025-02-02,Q3_no_adjust,57093.11116359508,56179.390887933216,0.0,0.0,913.7202756618647,167.2201846666673,6790.478216333337,6000.0
2025-02-02,Q4-2_main,65764.12093198921,65399.41221860962,0.0,0.0,364.70871337958556,57.30601233333368,10039.131914833335,6000.0
2025-02-02,Q4-2_fixed_strategy,65704.36070448214,65339.65199110255,0.0,0.0,364.70871337958556,57.30601233333368,10039.131914833335,6000.0
2025-02-02,Q4-3_main,67231.61660427746,62126.73540858656,98.29135138687514,0.0,5006.589844304028,870.8562674583344,7979.994903229939,6000.0
2025-02-02,Q4-3_no_adjust,63154.72429358477,62126.73540858656,0.0,0.0,1027.988884998212,167.2201846666673,6790.478216333337,6000.0
2025-02-03,Q2_main,57830.37867592826,57396.722748250344,0.0,0.0,433.6559276779163,124.92749916666666,6189.484583750002,6000.0
2025-02-03,Q2_baseline,69276.4813481674,68383.81663194949,0.0,0.0,892.6647162179156,250.82523499999988,0.0,
2025-02-03,Q3_main,63119.037999884255,57440.43146499269,24.204547244553318,0.0,5654.401987647008,1183.0542794444436,8349.503807544586,6000.000000000001
2025-02-03,Q3_no_adjust,58792.61313503603,57440.43146499269,0.0,0.0,1352.1816700433387,305.709624027779,6942.383324444447,6000.0
2025-02-03,Q4-2_main,65367.90396021657,64856.366498166986,0.0,0.0,511.5374620495828,124.92749916666666,6189.484583750002,6000.0
2025-02-03,Q4-2_fixed_strategy,65230.74584541662,64719.20838336703,0.0,0.0,511.5374620495828,124.92749916666666,6189.484583750002,6000.0
2025-02-03,Q4-3_main,71423.81699438771,64999.34730310509,23.545689764463127,0.0,6400.924001518157,1166.715507152777,8366.359310221196,6000.0
2025-02-03,Q4-3_no_adjust,66583.24701488267,64999.34730310509,0.0,0.0,1583.8997117775755,305.709624027779,6942.383324444447,6000.0
2025-02-04,Q2_main,58898.33593297073,57279.87103725161,0.0,0.0,1618.4648957191248,479.8612366666665,5416.216571166666,6000.0
2025-02-04,Q2_baseline,69980.15466803453,68336.05784098599,0.0,0.0,1644.0968270485419,467.1289225,0.0,
2025-02-04,Q3_main,64942.1829911908,59182.529479436234,85.14449525644568,0.0,5674.509016498114,1247.0738823194476,9202.021867272975,6000.000000000003
2025-02-04,Q3_no_adjust,59998.236846094434,59182.529479436234,0.0,0.0,815.7073666581969,221.55007569444479,7738.622083527778,6000.0
2025-02-04,Q4-2_main,66600.07675357183,64606.34603144255,0.0,0.0,1993.7307221292908,479.8612366666665,5416.216571166666,6000.0
2025-02-04,Q4-2_fixed_strategy,66440.12675357182,64446.396031442535,0.0,0.0,1993.7307221292908,479.8612366666665,5416.216571166666,6000.0
2025-02-04,Q4-3_main,72712.36468060584,66892.85829337104,84.52975742096322,0.0,5734.976629813822,1110.3148771527808,9057.41763141615,6000.000000000003
2025-02-04,Q4-3_no_adjust,67822.3736050589,66892.85829337104,0.0,0.0,929.5153116878622,221.55007569444467,7738.622083527778,6000.0
2025-02-05,Q2_main,58493.81222816323,57131.37942545027,0.0,0.0,1362.4328027129582,390.4685050833333,5439.163518083332,6000.0
2025-02-05,Q2_baseline,69464.56629728473,68203.50499601995,0.0,0.0,1261.061301264793,370.6290162500004,0.0,
2025-02-05,Q3_main,59657.41733739548,55210.53911637048,200.60540566795464,0.0,4246.272815357046,936.4818958749977,3868.989582176617,5999.999999999999
2025-02-05,Q3_no_adjust,59602.63296573051,55210.53911637048,0.0,0.0,4392.0938493600315,1303.9349733055562,3919.9941600555553,6000.0
2025-02-05,Q4-2_main,65918.90948692852,64253.52819656832,0.0,0.0,1665.3812903602081,390.4685050833332,5439.163518083332,6000.0
2025-02-05,Q4-2_fixed_strategy,65870.90948692852,64205.52819656831,0.0,0.0,1665.3812903602084,390.4685050833333,5439.163518083332,6000.0
2025-02-05,Q4-3_main,66753.80624579538,61907.88157567139,362.4292281999535,0.0,4483.495441924032,861.1910545138869,3906.5857873475707,5999.999999999999
2025-02-05,Q4-3_no_adjust,67496.48938139663,61907.88157567139,0.0,0.0,5588.60780572524,1303.9349733055562,3919.9941600555558,6000.0
2025-02-06,Q2_main,57934.6505308372,57185.3886913672,0.0,0.0,749.2618394699956,217.1739574999989,5792.394010083335,6000.0
2025-02-06,Q2_baseline,69301.51425174442,68395.5297959715,0.0,0.0,905.9844557729157,235.324922083333,0.0,
2025-02-06,Q3_main,65085.56580373595,59029.03395057961,155.22831749406657,0.0,5901.303535662277,1238.7375366666677,10272.069350868658,6000.0
2025-02-06,Q3_no_adjust,60073.57507838578,59029.03395057961,0.0,0.0,1044.5411278061765,240.61543322222133,8659.66798663889,6000.0
2025-02-06,Q4-2_main,65114.54333660473,64239.349309066856,0.0,0.0,875.1940275378704,217.1739574999989,5792.394010083336,6000.0
2025-02-06,Q4-2_fixed_strategy,65182.11428110382,64306.92025356595,0.0,0.0,875.1940275378704,217.1739574999989,5792.394010083335,6000.0
2025-02-06,Q4-3_main,73414.7613047681,66593.58554809747,153.31221606704102,0.0,6667.863540603583,1236.7366464166676,10321.868190281724,6000.0
2025-02-06,Q4-3_no_adjust,67764.79005198782,66593.58554809747,0.0,0.0,1171.2045038903434,240.61543322222133,8659.667986638891,6000.0
2025-02-07,Q2_main,33159.92275883245,33159.92275883245,0.0,0.0,0.0,0.0,23342.562229666666,6000.0
2025-02-07,Q2_baseline,45008.585240855246,45008.585240855246,0.0,0.0,0.0,0.0,0.0,
2025-02-07,Q3_main,39897.31092201589,33034.45745060229,0.0,0.0,6862.8534714135985,1409.1937900416658,25416.6789836809,6000.0
2025-02-07,Q3_no_adjust,33034.45745060229,33034.45745060229,0.0,0.0,0.0,0.0,22997.560894250004,6000.0
2025-02-07,Q4-2_main,27022.008266972378,27022.008266972378,0.0,0.0,0.0,0.0,23342.562229666666,6000.0
2025-02-07,Q4-2_fixed_strategy,26960.465484309385,26960.465484309385,0.0,0.0,0.0,0.0,23342.562229666666,6000.0
2025-02-07,Q4-3_main,32640.226870085156,26933.110894121724,0.0,0.0,5707.115975963432,1431.8344062083324,25441.83377973766,6000.000000000001
2025-02-07,Q4-3_no_adjust,26933.110894121724,26933.110894121724,0.0,0.0,0.0,0.0,22997.560894250004,6000.0
2025-02-08,Q2_main,32433.257947897706,32433.257947897706,0.0,0.0,0.0,0.0,22396.265244666665,6000.0
2025-02-08,Q2_baseline,44581.43715331,44581.43715331,0.0,0.0,0.0,0.0,0.0,
2025-02-08,Q3_main,35900.316083616206,27983.603098192907,0.0,0.0,7916.712985423298,1614.7091514166682,17845.55263647411,6000.0
2025-02-08,Q3_no_adjust,27983.603098192907,27983.603098192907,0.0,0.0,0.0,0.0,15278.043585499996,6000.0
2025-02-08,Q4-2_main,26372.42484136879,26372.42484136879,0.0,0.0,0.0,0.0,22396.265244666665,6000.0
2025-02-08,Q4-2_fixed_strategy,26263.506956149206,26263.506956149206,0.0,0.0,0.0,0.0,22396.265244666665,6000.0
2025-02-08,Q4-3_main,29217.636214845978,22691.588320798313,0.0,0.0,6526.047894047663,1562.6066404583346,17780.19100312637,6000.0
2025-02-08,Q4-3_no_adjust,22691.588320798313,22691.588320798313,0.0,0.0,0.0,0.0,15278.043585499998,6000.0
2025-02-09,Q2_main,57621.72981157702,55815.76491401077,0.0,0.0,1805.9648975662483,607.1992269166664,5181.491608250001,6000.0
2025-02-09,Q2_baseline,69037.58713368609,67160.7363109467,0.0,0.0,1876.8508227393777,601.6811804166671,0.0,
2025-02-09,Q3_main,58587.33491326849,55329.61845653265,0.0,0.0,3257.7164567358423,686.1144872175964,5112.244695546734,6000.000000000002
2025-02-09,Q3_no_adjust,58321.26002987879,55329.61845653265,0.0,0.0,2991.6415733461376,683.0406521944442,4863.475041444446,6000.0
2025-02-09,Q4-2_main,64634.78734624357,62138.57182875686,0.0,0.0,2496.215517486706,607.1992269166664,5181.491608250002,6000.0
2025-02-09,Q4-2_fixed_strategy,64535.90467098244,62039.68915349573,0.0,0.0,2496.215517486706,607.1992269166664,5181.491608250001,6000.0
2025-02-09,Q4-3_main,65455.94923511307,61713.68996499585,0.0,0.0,3742.2592701172175,722.5177519675965,5167.259888632812,6000.000000000001
