problem,run,min_supply_slack,max_soc_residual,max_simultaneous_charge_discharge,min_soc,max_soc,solver_feasible,passed
Q4-3,2025-02-14,0.0,0.0,0.0,1792.4308921851875,10800.0,True,True
Q2,2025-02-15,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-02-15,0.0,0.0,0.0,2009.4295962962988,10800.0,True,True
Q4-2,2025-02-15,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-02-15,0.0,0.0,0.0,1869.5255777777784,10800.0,True,True
Q2,2025-02-16,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-02-16,0.0,0.0,0.0,1200.0000000000014,10800.0,True,True
Q4-2,2025-02-16,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-02-16,0.0,0.0,0.0,1200.0000000000014,10800.0,True,True
Q2,2025-02-17,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-02-17,0.0,0.0,0.0,1199.9999999999995,10800.0,True,True
Q4-2,2025-02-17,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-02-17,0.0,0.0,0.0,1199.9999999999995,10800.0,True,True
Q2,2025-02-18,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-02-18,-1.4210854715202004e-14,0.0,0.0,1200.0000000000005,10800.0,True,True
Q4-2,2025-02-18,-5.684341886080802e-14,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-02-18,-1.4210854715202004e-14,0.0,0.0,1200.0000000000005,10800.0,True,True
Q2,2025-02-19,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-02-19,-3.552713678800501e-15,0.0,0.0,1199.9999999999989,10800.0,True,True
Q4-2,2025-02-19,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-02-19,-3.552713678800501e-15,0.0,0.0,1200.0000000000007,10800.0,True,True
Q2,2025-02-20,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-02-20,0.0,0.0,0.0,1199.9999999999995,10800.0,True,True
Q4-2,2025-02-20,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q4-3,2025-02-20,0.0,0.0,0.0,1199.9999999999995,10800.0,True,True
Q2,2025-02-21,-1.1368683772161603e-13,9.094947017729282e-13,0.0,1200.0,10800.0,True,True
Q3,2025-02-21,0.0,0.0,0.0,2088.4738518518534,10800.0,True,True
