problem,run,iterations,runtime_s,solver_objective
Q3,2025-02-19@00,361,0.0018440420000001012,45369.44768988896
Q3,2025-02-19@06,259,0.0020594579999997364,0.0034052693055390587
Q3,2025-02-19@12,191,0.0012825830000000593,1131.40637719225
Q3,2025-02-19@18,88,0.0005806669999999237,0.0013901353250740734
Q4-2,2025-02-19,363,0.001995500000000039,54700.44114854562
Q4-3,2025-02-19@00,358,0.001951000000000036,49395.64743502381
Q4-3,2025-02-19@06,272,0.0021737500000003074,0.0032531532954704714
Q4-3,2025-02-19@12,194,0.0013021250000000428,1338.8557962675302
Q4-3,2025-02-19@18,87,0.0005667499999999492,0.0013901353250740738
Q2,2025-02-20,371,0.001964124999999761,49894.881570774414
Q3,2025-02-20@00,370,0.0019180000000003083,46928.34516876977
Q3,2025-02-20@06,280,0.0022163329999997927,837.7418709160834
Q3,2025-02-20@12,175,0.0012202079999998894,0.0019136604813006332
Q3,2025-02-20@18,87,0.0005827080000000429,0.0013831640405216044
Q4-2,2025-02-20,364,0.002119583000000258,54826.238186386
Q4-3,2025-02-20@00,367,0.0019224580000001268,51390.06511620765
Q4-3,2025-02-20@06,287,0.0022999170000002067,1029.79113616044
Q4-3,2025-02-20@12,180,0.0013005839999999935,0.0019175572841378065
Q4-3,2025-02-20@18,92,0.0005850409999998973,0.0013831640405216044
Q2,2025-02-21,362,0.0019215420000002759,27053.182787827733
Q3,2025-02-21@00,359,0.001910416999999942,24409.787301158616
Q3,2025-02-21@06,239,0.0021079999999997767,0.0025116421651485946
Q3,2025-02-21@12,174,0.0013177920000000398,0.0017777349346526064
Q3,2025-02-21@18,81,0.0006402080000000865,0.0010646192184609053
Q4-2,2025-02-21,363,0.0018670419999997634,24147.51781715068
Q4-3,2025-02-21@00,356,0.001820874999999944,21671.55759157128
Q4-3,2025-02-21@06,244,0.0021262090000000455,0.0025116421651485946
Q4-3,2025-02-21@12,178,0.0012379170000000883,0.0017777349346526066
Q4-3,2025-02-21@18,87,0.0005757090000000353,0.0010403318125987654
Q2,2025-02-22,365,0.0019366249999999141,26289.220271214977
Q3,2025-02-22@00,363,0.001861625000000089,25071.710374171395
Q3,2025-02-22@06,248,0.0021119579999999694,0.00249194738545847
Q3,2025-02-22@12,179,0.0013168330000001838,0.0017120357901647808
Q3,2025-02-22@18,81,0.0005564169999998647,0.0010784969315185185
Q4-2,2025-02-22,360,0.0019102499999998912,23285.562187737276
Q4-3,2025-02-22@00,362,0.001846416999999878,22165.379170904835
Q4-3,2025-02-22@06,249,0.00213433399999996,0.0024901582505163903
Q4-3,2025-02-22@12,179,0.001275499999999763,0.0017047629547852024
Q4-3,2025-02-22@18,81,0.000577374999999769,0.0010543206556736112
Q2,2025-02-23,366,0.002052165999999911,48060.256928130264
Q3,2025-02-23@00,360,0.0019137090000000967,45405.0923810082
Q3,2025-02-23@06,279,0.002451582999999591,144.0643798097942
Q3,2025-02-23@12,179,0.0012590420000000435,0.0019135793635736786
Q3,2025-02-23@18,88,0.0005727079999999773,0.001391921132935184
Q4-2,2025-02-23,360,0.0019152079999997795,52207.22005482576
Q4-3,2025-02-23@00,362,0.0019404170000001386,49072.39812889741
Q4-3,2025-02-23@06,282,0.0021280839999997525,356.144308215747
Q4-3,2025-02-23@12,186,0.0012496660000000936,0.001918377257724735
Q4-3,2025-02-23@18,91,0.0006074590000002544,0.0013919211329351843
Q2,2025-02-24,361,0.0019398749999997023,46708.31828085767
Q3,2025-02-24@00,366,0.0019240409999996544,43938.32831870415
Q3,2025-02-24@06,290,0.002328041999999808,0.0031647742562295445
Q3,2025-02-24@12,184,0.0012347500000000622,0.0019576395274773836
Q3,2025-02-24@18,91,0.0005714159999996582,89.7177470640696
Q4-2,2025-02-24,364,0.0019303750000001507,50485.91536842628
Q4-3,2025-02-24@00,368,0.0018757919999998762,47072.23397725933
Q4-3,2025-02-24@06,294,0.002143750000000111,0.0030427350036910505
Q4-3,2025-02-24@12,182,0.0012272919999998244,0.0019572439362583343
Q4-3,2025-02-24@18,89,0.0005747089999998956,87.45124402926055
Q2,2025-02-25,363,0.0019076249999998574,47229.98997448277
Q3,2025-02-25@00,366,0.002151084000000303,44692.92667980155
Q3,2025-02-25@06,331,0.002429624999999991,765.5545499758044
Q3,2025-02-25@12,225,0.001362041000000147,52.88990987156117
Q3,2025-02-25@18,88,0.000580000000000247,0.0013910904472499996
Q4-2,2025-02-25,366,0.001955249999999964,51036.46812193373
Q4-3,2025-02-25@00,368,0.001949125000000329,48100.23685526619
Q4-3,2025-02-25@06,319,0.002342999999999762,884.7069940932876
Q4-3,2025-02-25@12,227,0.0013349579999997196,51.22697898233987
Q4-3,2025-02-25@18,90,0.0005784160000001926,0.00139109044725
Q2,2025-02-26,367,0.002097041999999938,45925.80227365893
Q3,2025-02-26@00,368,0.0019144579999998967,40003.948333804845
Q3,2025-02-26@06,298,0.0023212500000000524,1158.4982756520574
Q3,2025-02-26@12,202,0.0013485000000001968,1695.872220738419
Q3,2025-02-26@18,88,0.0005856669999997344,0.0013922903669043207
Q4-2,2025-02-26,361,0.0019775000000001874,49297.31650941872
Q4-3,2025-02-26@00,365,0.0019747919999999475,42327.574643869346
Q4-3,2025-02-26@06,296,0.002361125000000186,1420.9468314493681
Q4-3,2025-02-26@12,201,0.0014467499999999411,1916.9903229831148
Q4-3,2025-02-26@18,88,0.0006540409999997721,0.0013223225174400718
Q2,2025-02-27,364,0.0019054170000001314,45685.97688186638
