problem,baseline_cost,main_cost,baseline_emergency,main_emergency
问题2,19978861.429713238,15391996.173273679,739783.3342145833,427994.1354075832
问题3,15818394.806397734,16258910.51252627,477723.7339629443,410727.0001794066
问题4-2,16171689.061680816,16163346.403621573,427994.1354075832,427994.1354075832
问题4-3,16567282.251775065,16977176.533178046,477723.7339629443,406303.8636333699
