date,actual,forecast
2025-02-01,0.6514930555555556,0.7803106076388889
2025-02-08,0.642351388888889,0.7530879513888888
2025-02-15,0.6378472222222222,0.7239534027777778
2025-02-22,0.6352840277777778,0.7039874826388889
2025-03-01,0.6142222222222222,0.6916264930555555
2025-03-08,0.5972631944444444,0.68604703125
2025-03-15,0.6047722222222222,0.6743414583333335
2025-03-22,0.5873881944444445,0.6630151215277778
2025-03-29,0.5630868055555556,0.6523923958333333
2025-04-05,0.5755284722222221,0.6436357291666668
2025-04-12,0.5638673611111111,0.6375468402777779
2025-04-19,0.5579763888888889,0.6292956944444446
2025-04-26,0.5378048611111111,0.6210341145833334
2025-05-03,0.5698243055555555,0.6155903125
2025-05-10,0.5753076388888889,0.6207104513888889
2025-05-17,0.5734159722222222,0.6223117708333333
2025-05-24,0.553204861111111,0.6215613368055555
2025-05-31,0.5663548611111112,0.6237758333333334
2025-06-07,0.6502881944444445,0.6478510937499999
2025-06-14,0.6368673611111111,0.6562717361111111
2025-06-21,0.6095256944444445,0.6719984722222222
2025-06-28,0.6229888888888888,0.6796854340277778
2025-07-05,0.68431875,0.6992364583333334
2025-07-12,0.6942819444444444,0.7115531423611111
2025-07-19,0.6802993055555555,0.7215401736111111
2025-07-26,0.6880090277777778,0.7412638194444445
2025-08-02,0.6621874999999999,0.7495354513888889
2025-08-09,0.6529750000000001,0.7331657465277778
2025-08-16,0.6473409722222221,0.7270218055555556
2025-08-23,0.6591965277777778,0.7205128125
2025-08-30,0.6546625,0.7170130034722221
2025-09-06,0.5657111111111112,0.6859207291666666
2025-09-13,0.5665159722222222,0.6778791840277777
2025-09-20,0.5874611111111112,0.6625627777777778
2025-09-27,0.5996840277777777,0.6463429513888889
2025-10-04,0.5858305555555555,0.6385587500000001
2025-10-11,0.5845513888888889,0.640635329861111
2025-10-18,0.5830680555555555,0.6479565277777778
2025-10-25,0.5985090277777778,0.6526646006944444
2025-11-01,0.6046034722222222,0.6552603472222222
2025-11-08,0.6173409722222222,0.6624941493055556
2025-11-15,0.6287680555555555,0.6704069270833333
2025-11-22,0.636675,0.6808515277777778
2025-11-29,0.6504381944444445,0.6878044618055557
2025-12-06,0.7271965277777777,0.7209148263888889
2025-12-13,0.7296965277777777,0.7342383159722223
2025-12-20,0.7189708333333333,0.7610083333333333
2025-12-27,0.7212277777777778,0.7792654166666666
