combo,fixed_price_cost,variable_price_cost
none,15820108.803578552,16569050.378803957
6,16139224.07592135,17138646.416844174
12,16496525.793567188,17292583.953195665
6+12,16528419.358376216,17336101.877813213
18,16557575.202995412,17323061.95372141
12+18,16655694.228877807,17426918.153891735
6+12+18,16688233.609973341,17471167.077340107
6+18,16719768.229077648,17510493.064358465
